CREATOR NAME";TWITTER;USER ID;TYPE;SMM
INHOUSE CREATORS;;;;
Adam Horvath;https://x.com/adamtwinkx/media;;Twink;
Charlie;LINK;;Twink;
Cole Bentley;http://twitter.com/notashyboi;903829668561694720;Twink;
Connor Verlice;https://x.com/CONNORVERLICE;932924470427136000;Twink;
Elliot;https://x.com/_ELLIXT;;Twink;
Eugene;https://x.com/_eugxne;;Twink;
Jackson Lake;LINK;;Twink;
Noah Green;https://x.com/_NoahTwink/media;;Twink;
Noah Ryder;https://x.com/itsnoahryder;;Twink;
Tymothy Fire;https://twitter.com/tymothyfire;1610424779084890112;Twink;
X MANAGED CREATORS;;;;
Danny Delano;http://twitter.com/DANNYDELANOX;1241493006693400581;Twunk;
Jack Camero;http://x.com/itsjackcamero;;Twink;
Alo Twink;http://twitter.com/alo_twink;1511158170378555392;Twink;
Czech Twins;http://x.com/czechtwins;;Twunk;
Noah Foxx;https://twitter.com/noahfoxxx;1510273551458308098;Twink;
TWINK NETWORK;;;;
TwinkUniversity;http://x.com/@TwinkUniversity;;Twink;
TwinkLoad;http://x.com/@TwinkLoad;;Twink;
TwinkPublic;http://x.com/@TwinkPublic;;Twink;
TwinkDong;http://x.com/@TwinkCheeks;;Twink;
TwinkCheeks;http://x.com/@TwinkCheeks;;Twink;
ALL OTHER CREATORS;;;;
The Beach Boy;https://twitter.com/thebeachboyyy;725183835349110784;Twink;
Luke Watts;https://twitter.com/luke_x_18;1455387991023800322;Twink;
Horny Justin;https://twitter.com/horny_justin69;1351735023108546561;Twink;
SpikeyDee;https://twitter.com/Spikey20Dee;1356042430953484293;Twink;
Dere Palencio;https://twitter.com/derepalencio;1189169639684792321;Twink;
Matthew_5511;https://twitter.com/Matthew_5511;1421116912126267394;Couple;
Josh Ungodly Boy;https://twitter.com/ungodlyxboy;1454100582181085189;Twink;
Baby Lion;https://twitter.com/twinkb4by;1538729421850435584;Twink;
Ejay Woods;https://twitter.com/ejaywoods;1264921149567352834;Twink;
Aiden Twink;https://x.com/aiden_twink;;Twink;
Diego Jackson;https://twitter.com/diego_jackson_;1455214387573178380;Twink;
Unmasked Twinks;https://twitter.com/unmaskedtwinks;1373989278473146368;Couple;
Willow Twink;https://twitter.com/willowtwink;1312066104399810561;Twink;
Cutie Zack;https://twitter.com/cutiezackk;1499096046739378180;Twink;
Ethan PR;https://twitter.com/ethansecrett;1524903984196210690;Twink;
Twink Dylan;https://twitter.com/twink_dylan;1428758581697040396;Twink;
Zayne Bright;https://twitter.com/ZayneBrightXXX;1528529450199142402;Twink;
Drake Doran;https://twitter.com/drakedoran1;1245230978139738119;Twink;
Ryker Skye;https://twitter.com/RykerSkye;937427780136062978;Twink;
Nathyn Trees;http://twitter.com/NathynTrees;1150554266748313600;Twink;
FawnyKin;http://twitter.com/FAWNYKIN;750866839115276288;Twink;
Sascha Cologne;https://twitter.com/bodycoachsascha;1353769966248587264;Hunk/Jock;
Kayden Gray;https://twitter.com/KaydenGrayXXX;1382158386;Hunk/Jock;
Hayden Brooks + Nick;https://twitter.com/HaydenBrooksXXX;1465164506989043717 / 1249550490150600705 / 1575572234432815117;Couple;
Flexxxible Twink;http://twitter.com/flexxxibletwink;1323378042283167746;Twink;
Chase Parker;http://twitter.com/chasexparkerr;1524704296008359938;Twink;
Vill Sunny;http://twitter.com/sunny1vi;1606930086845890561;Twink;
Jake Downs;https://twitter.com/jake_downs19;1373397833068470277;Twink;
Drake Von;https://twitter.com/DrakeVonXXX;1392313764821671937;Twink;
Samuel Slap;https://twitter.com/samuelslapOF;1467566090897264640;Twink;
British Leon;https://twitter.com/Britishleon;1091777182697951234;Twunk;
Silas Brooks;https://twitter.com/SilasBrooksXXX;1363324954599510016;Twink;
BWC Blake;https://twitter.com/BWCblakee;1633506427082883074;Twink;
Corey Taylor;https://twitter.com/CoreyTaylorVIP;1422666512574332930;Twunk;
RealJPacking;https://twitter.com/RealJPacking;1591583973272166403;Twink;
Endeless Boy;https://twitter.com/EndelessGuys;1275406649298235393;Twink;
Craig Kennedy;http://www.twitter.com/craigkennedyxxx;193855327;Twink;
Bast and Austin;https://twitter.com/Bast_and_Austin;1279247555860197376;Couple;
Dillon Faze;https://twitter.com/DillonFazee;1541339009472946178;Twink;
Evan Wade;https://twitter.com/itsevanwade;966149204853870593;Twink;
Mace The Boy;https://twitter.com/Macetheboy;1280029793497559040;Twink;
Diego Armenic;https://twitter.com/ExtraArmenic;1409258415126372363;Hunk/Jock;
Henrique;https://twitter.com/rickvilela0;1269097971003637766;Twink;
AngelicBoyo;https://twitter.com/angelicboyo18x;1404112232900923394;Twink;
Harry leedsboy;https://twitter.com/xleedsboyx;1329802037375143939;Twink;
Juanda Henderson;https://twitter.com/juangoom_;1433234159007420418;Twink;
Austin Ponce;https://twitter.com/AustinPonce_;1524899332989898766;Twink;
Seba Terry;https://twitter.com/Seba_Terry;368479859;Twunk;
TwinkieTheTwink;https://twitter.com/TwinkieTheTwink;1176637865381548032;Twink;
Jackson Vettson;https://twitter.com/JVettson/media;1587162678694404099;Twink;
Jackson Marco;https://twitter.com/jackson_marco18;1600246973059284992;Twink;
Matteo;https://twitter.com/Matteothetwink;1539866699742072832;Twink;
Eric V;http://twitter.com/ericnvee;;Twink;
Brandon8934;http://www.twitter.com/Brandon8934;;Twunk;
Kai Denvers;https://x.com/KaiDanversX;;Twink;
Danny Sanders;https://x.com/DannySandersVIP;;Twink;
Chico Twink;https://x.com/chico_twiink;;Twink;
Dark Twinks;https://x.com/darktwinks;;Twink;
Jacob & Douglas;https://x.com/JacobDouglasxxx;;Twink;
Lucas OFL;https://x.com/UcasOfl;;Twink;
Pasha;https://x.com/pashanottwink;;Twink;
Joven Twink;https://x.com/joventwinkok;;Twink;
SasAlex Twink;https://x.com/sashaex0;;Twink;SHALIE
CHENNY ;https://x.com/xchennyxxx;;Twink;SHALIE
Pablo Pineda;https://x.com/pineda_pabloo;;Twink;JEREZA
Rodrigo Gomez;https://x.com/boytattook;;Twink;HANAH
Vitor Tadeu;https://x.com/VitorTadeux;;Twunk;JEREZA
Luca;https://x.com/Mostly_luca;;Twunk;JEREZA
Emi Terra;https://x.com/emiterraoficial;;Hunk/Jock;JEREZA
Nicolas;https://x.com/Nicolasacoosta;;Twunk;JEREZA
Jon;https://x.com/typastrawberry;;Twink;SHALIE
Blu Twink;https://x.com/blutwinkk/media;;Twink;SHALIE
Leon Mike;https://x.com/_leonmike17;;Couple;HANAH
Gab Otaku;https://x.com/Novin_scdot;;Twink;HANAH
Bolt_xTop;https://x.com/bolt_xtop;;Twunk;HANAH
Mr. Berk;https://x.com/berk_can242;;Hunk/Jock;JEREZA
Damiano & Simon;https://x.com/Damiano_Simon01;;Couple;SHALIE
Gio;https://x.com/xGiox69;;Twunk;SHALIE
Guigs;https://x.com/guigsims;;Twunk;HANAH
Gui Sousa;https://x.com/guisousaa_;;Twunk;JEREZA
Zack ;https://x.com/isaaqdiass;;Twunk;SHALIE
Pedrin Zedan ;https://x.com/sharkboydot;;Twunk;SHALIE
Andres Garcia;https://x.com/Andresgar11442;;Couple;SHALIE
Ethan & Brett;https://x.com/Ethan_and_Brett;;Couple;HANAH
Peachy;https://x.com/sopeachboy;;Twunk;HANAH
HASAN;https://x.com/Hasandouzaklian;;Twunk;SHALIE
Xander;https://x.com/xanderboyx;;Twink;HANAH
John Doe;https://x.com/jlikesmoney;;Twink;HANAH
Dionisio GReca;https://x.com/dionigreca;;Twink;JEREZA
Benjaviano;https://x.com/benjaviano;;Twunk;SHALIE
JESS DUDE ;https://x.com/JezzDudez ;;Twink;SHALIE
Joe & Jeff;https://x.com/hung_nerdboys ;;Couple;JEREZA
Ale Williams;https://x.com/alewilliams_ ;;Twunk;SHALIE
Alex;https://x.com/xxalexadams ;;Twink;HANAH
Brando Arjona;https://x.com/bagarjona ;;Twunk;HANAH
Xander & Jay;https://x.com/xanderandjay ;;Couple;HANAH
Eryx;https://x.com/eryx_castro ;;Twink;HANAH
Marcus Mendes;https://x.com/dotmarcus ;;Twink;HANAH
Max_Aries;https://x.com/maxariesxxx ;;Twunk;SHALIE
Jeriko;https://x.com/jerikotwink;;Twink;JEREZA
Huge Leo;https://x.com/leo_hugee/media;;Twink;SHALIE
Alex Twink G.T;https://x.com/alextwinkgt;;Twink;SHALIE
Jean Twink;https://x.com/jeantwinkk;;Twink;HANAH
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
